,precision,recall,f1-score,support
Beverages,0.8397309062129007,0.8269680436477007,0.8333006086785785,5132.0
Breads,0.8193523214982442,0.7252633396649975,0.7694421544380324,5791.0
Breakfast,0.7854217854217854,0.4357110404361654,0.5604909409701929,4402.0
Dessert,0.800351311429598,0.9150577388287918,0.8538694152221133,21909.0
Main Dish,0.6298146890462792,0.8573032223983096,0.7261591811622574,30288.0
Other,0.5920398009950248,0.045576407506702415,0.08463726884779517,5222.0
Sauces,0.6271186440677966,0.3006200555911909,0.40641711229946526,4677.0
Sides,0.5417792312431868,0.5872591831492422,0.5636031949511883,19465.0
Snacks,0.655933214072749,0.16876342436330163,0.2684563758389262,6518.0
Soups,0.7878787878787878,0.027426160337552744,0.053007135575942915,948.0
accuracy,0.6763358632321373,0.6763358632321373,0.6763358632321373,0.6763358632321373
macro avg,0.7079420691866354,0.4889948615923956,0.5119383387984492,104352.0
weighted avg,0.6776602215897866,0.6763358632321373,0.64219495480202,104352.0
