,precision,recall,f1-score,support
Beverages,0.8862502494512073,0.8653546375681995,0.875677807354826,5132.0
Breads,0.8039119000657462,0.8445864272146434,0.8237473684210527,5791.0
Breakfast,0.7337048703658832,0.6880254487616451,0.7101313320825516,4401.0
Dessert,0.8669361775331155,0.9200785065498197,0.8927171674675052,21909.0
Main Dish,0.7533803996649515,0.8062491996414394,0.7789187182976618,31236.0
Sauces,0.6159595515497912,0.5991019884541373,0.6074138304790808,4677.0
Sides,0.6265822784810127,0.6662727973285384,0.6458182904663496,19465.0
Snacks,0.5429682076912398,0.3331062090111575,0.41290118243243246,11741.0
accuracy,0.7415670039865072,0.7415670039865072,0.7415670039865072,0.7415670039865072
macro avg,0.7287117043503684,0.7153469018161975,0.7184157121251825,104352.0
weighted avg,0.7322454452735565,0.7415670039865072,0.7334601474736975,104352.0
